Feature,Category,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Additional notes,Original Gravity (°Plato),Apparent Extract/Final Gravity (°Plato),Alcohol by Weight (Volume),Bitterness (IBU),Color SRM (EBC)
62,German-Style Rye Ale,"Pale to very dark, with darker versions ranging from dark amber to dark brown.","Chill haze is acceptable in versions packaged and served without yeast. In versions served with yeast, appearance may range from hazy to very cloudy.","In darker versions, malt aromas and flavors can optionally include low level roasted malt characters expressed as cocoa-chocolate, caramel, toffee, or biscuit attributes. Malt sweetness can vary from low to medium. Low level of roast malt astringency is acceptable when balanced with low to medium malt sweetness.",Not present,Very low to low,"Low to medium banana–like or other fruity ester aromas and flavors are typical. Clove-like or other phenolic aromas and flavors should also be present. No yeast aroma should be present in versions without yeast. Versions packaged and served without yeast will not have yeast ﬂavor or full mouthfeel typical of beers with yeast. Versions with yeast will have low to medium yeast aroma and ﬂavor and a full mouthfeel, but the yeast character should not overpower the balance of rye and barley malts, esters, and phenolics.",Low to medium,Grodziskie (sometimes referred to as Graetzer in German) is an ale style of Polish origin. Historic versions were often bottle conditioned and highly carbonated.,1.047-1.056 (11.7-13.8 °Plato),1.008-1.016 (2.1-4.1 °Plato),3.90%-4.40% (4.90%-5.60%),10-15,4-25(8-50 EBC)
63,Bamberg-Style Weiss Rauchbier,Pale to chestnut brown,"If served with yeast, appearance may be very cloudy.","In darker versions, a detectable degree of roast malt may be present without being aggressive. Smoky malt aroma and ﬂavor, ranging from low to high, should be present. Smoke character should be smooth, not harshly phenolic, suggesting a mild sweetness.",Not present,Low,"The aroma and flavor of a Weiss Rauchbier with yeast should be fruity and phenolic. The phenolic characteristics are often described as clove, nutmeg, vanilla, and smoke. Banana esters are often present at low to medium-high levels. No diacetyl should be perceived. Weissbiers are well attenuated and very highly carbonated.",Medium to full,"The style originated in Dortmund and is a strong, dark, hoppy ale which may or may not be sour. It may also be extensively aged in wooden barrels. Traditional versions may have a low or medium-low degree of smokiness. Adambier may or may not use wheat in its formulation. Smoke character may be absent in contemporary versions. Fruited versions of this style which exhibit attributes of wood-aging should be categorized as fruited Wood- and Barrel-Aged Sour Beers. Fruited versions of this style which do not exhibit attributes of wood-aging should be categorized as Fruit Wheat Beers.",1.047-1.056 (11.7-13.8 °Plato),1.008-1.016 (2.1-4.1 °Plato),3.90%-4.40% (4.90%-5.60%),10-15,4-18(8-36 EBC)
64,Kellerbier or Zwickelbier,Varies depending on the underlying European origin lager or ale style,"Typically slightly hazy to moderately cloudy, but may become clear through settling. A small amount of yeast haze is acceptable and traditional.",Varies depending on the underlying style,Varies depending on underlying style. Low level attributes typical of late or dry hopping may be present in some versions.,Varies depending on underlying style,"Low levels of sulfur and acetaldehyde or other volatiles normally scrubbed during fermentation, if present, can enhance the flavor of these beers. Low fruity esters may be present and may vary slightly from the underlying style due to age and the presence of yeast. Diacetyl is usually absent in these beers but may be present at low levels in keller versions of beer styles which can contain diacetyl when fully aged, such as Bohemian-Style Lager.",Varies depending on underlying style,This style of beer was popular in the Netherlands from 1400-1550.,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style
65,Belgian-Style Table Beer,Gold to black. Caramel color is sometimes added to adjust color.,"Beer color may be too dark to perceive. When clarity is perceivable, chill haze is acceptable at low temperatures.",Mild malt character may be present,Not present to very low,Very low to low,Diacetyl should not be present. Traditional versions do not use artiﬁcial sweeteners nor are they excessively sweet. More modern versions can incorporate sweeteners such as sugar and saccharin added post fermentation for additional sweetness and to increase smoothness.,Low,"Pale Ales from around the world may vary considerably from the other pale ale styles defined elsewhere within this document. Overall impression is a well-integrated, easy drinking, refreshing ale with distinctive hop aroma and flavor attributes including any of floral, herbal, fruity, tropical, pine, or many others. Diacetyl is usually absent in these beers but may be present at very low levels. DMS should not be present.",1.008-1.023 (2.1-5.8 °Plato),1.002-1.008 (0.5-2.1 °Plato),0.40%-1.60% (0.50%-2.00%),5-15,5-50(10-100 EBC)
66,Belgian-Style Session Ale,May vary widely,Chill haze is acceptable at low temperatures,"Very low to low, exhibiting a wide range of malt-derived attributes","Very low to low, exhibiting a wide range of hop-derived attributes",Very low to low but sufficient to balance other attributes,"Phenolic spiciness may be absent or may be present at low levels. Fruity-ester complexity may range from low to medium, in harmony with malt and other attributes. Diacetyl should not be present.",Very low to low,"Overall impression is a well-integrated easy drinking, refreshing pale ale style with distinctive fruity, tropical, herbal and many other hop aromas and flavours. Diacetyl is usually absent in these beers but may be present at very low levels. DMS should not be present.",1.018-1.04 (4.5-10 °Plato),1.002-1.01 (0.5-2.6 °Plato),1.70%-4.00% (2.10%-5.00%),5-35,May vary widely
67,Belgian-Style Speciale Belge,Gold to light copper,Chill haze is acceptable at low temperatures,Malt aroma should be low. Caramel or toasted malt attributes are acceptable.,Very low to medium. Noble-type hops are commonly used.,Low to medium,Low to medium fruity esters are present. Yeast-derived phenolic spicy ﬂavors and aromas should be present at low to medium-low levels. Diacetyl should not be present.,Low to medium,"Overall impression is a well-integrated easy drinking, refreshing pale ale style with distinctive fruity hop aromas and flavors. Diacetyl is absent in these beers. DMS should not be present.",1.04-1.054 (10-13.3 °Plato),1.008-1.014 (2.1-3.6 °Plato),4.10%-5.00% (5.10%-6.30%),20-30,4-12(8-24 EBC)
68,Belgian-Style Blonde Ale,Straw to light amber,Chill haze is acceptable at low temperatures,Very low to low,Very low to medium. Noble-type hops are commonly used.,Very low to medium-low,Low to medium fruity esters are balanced with low level malt attributes. Low level yeast-derived phenolic spiciness may be present. Diacetyl and acidic character should not be present.,Low to medium,"Diacetyl and DMS should not be present. The use of water with high mineral content may result in a crisp, dry beer rather than a malt-accentuated version. Hop attributes are dominant and balanced with malt character.",1.054-1.068 (13.3-16.6 °Plato),1.01-1.014 (2.6-3.6 °Plato),5.00%-6.20% (6.30%-7.90%),15-40,2-7(4-14 EBC)
69,Belgian-Style Strong Blonde Ale,Straw to light amber,Chill haze is acceptable at low temperatures,Malt character is low to medium. A complex fruitiness is often present.,Medium-low to medium-high,Medium-low to medium-high,Low to medium fruity esters are present. Yeast-derived phenolic spicy ﬂavors and aromas should be present at low to medium-low levels. Diacetyl is usually absent in these beers but may be present at very low levels.,Very low to medium,Juniper aroma and ﬂavor should be present due to the use of juniper boughs/branches and berries in the brewing process.,1.064-1.096 (15.7-22.9 °Plato),1.008-1.024 (2-6.1 °Plato),5.60%-8.80% (7.10%-11.20%),20-50,2-7(4-14 EBC)
70,Belgian-Style Strong Dark Ale,Amber to very dark,Chill haze is acceptable at low temperatures,"Medium to high malt aroma and complex fruity aromas are distinctive. Medium to high malt intensity can be rich, creamy, and sweet. Fruity complexity along with soft roasted malt ﬂavor adds distinct character.",Low to medium,Low to medium,Yeast-derived phenolic spicy ﬂavors and aromas are present at low to medium-low levels. Diacetyl is usually absent in these beers but may be present at very low levels.,Medium to full,Juniper aroma and flavor should be present due to the use of juniper boughs/branches and berries in the brewing process. These beers are characterized by juniper and birchwood smoked malt.,1.064-1.096 (15.7-22.9 °Plato),1.012-1.024 (3.1-6.1 °Plato),5.60%-8.80% (7.10%-11.20%),20-50,8-35(16-70 EBC)
71,Belgian-Style Dubbel,Brown to very dark,Chill haze is acceptable at low temperatures. Slight yeast haze may be present in bottle conditioned versions.,"Any of cocoa, dark or dried fruit, or caramel aroma attributes should be present along with malty sweetness.","Absent, or low if present.",Medium-low to medium,Fruity esters (especially banana) are absent or present at low levels. Clove-like phenolic flavor and aroma may be present at low to medium-low levels. Diacetyl character should not be present.,Low to medium,"Traditional German wheat beer yeast is not used in this style of beer. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect pale and dark versions.",1.06-1.075 (14.7-18.2 °Plato),1.012-1.016 (3.1-4.1 °Plato),5.00%-6.00% (6.30%-7.60%),20-35,16-36(32-72 EBC)
72,Belgian-Style Tripel,Pale to pale gold,"Chill haze is acceptable at low temperatures. Traditional Tripels are bottle conditioned and may exhibit slight yeast haze. However, yeast should not be intentionally roused.",Low sweetness from very pale malts should be present. There should be no roasted or dark malt character.,"Absent, or low if present.",Medium to medium-high,"A complex, sometimes mildly spicy, aroma and ﬂavor characterize this style. Clove-like phenolic aroma and ﬂavor may be very low. Fruity esters, including banana, are also common, but not required. Traditional Tripels are often well attenuated. Alcohol strength and ﬂavor should be present.",Medium,"The head should be dense, pure white, and persistent. Hop character is assertive and crisp.",1.07-1.092 (17.1-22 °Plato),1.008-1.014 (2.1-3.5 °Plato),5.60%-8.00% (7.10%-10.10%),20-45,4-7(8-14 EBC)
73,Belgian-Style Quadrupel,Amber to dark brown,Chill haze is acceptable at low temperatures,"Caramel, dark sugar and malty sweet ﬂavors and aromas can be intense, but not cloying, and should complement fruitiness.",Not present to very low,Low to medium-low,"Perception of alcohol can be strong. Complex fruity attributes reminiscent of any of raisins, dates, ﬁgs, grapes, or plums are often present and may be accompanied by wine-like attributes at low levels. Clove-like phenolic ﬂavor and aroma may be present at low to medium-low levels. Diacetyl and DMS should not be present.",Full with creamy mouthfeel,The head should be dense.,1.092-1.12 (22-28 °Plato),1.014-1.02 (3.6-5.1 °Plato),8.00%-11.20% (10.00%-14.20%),25-50,16-36(32-72 EBC)
74,Belgian-Style Witbier,Straw to pale,Unﬁltered starch and yeast haze should be visible. Wits are traditionally bottle conditioned and served cloudy.,Very low to low,Hop aroma is not present to low. Hop flavor is not present.,"Low, from noble-type hops.",Low to medium fruity esters are present. Mild phenolic spiciness and yeast ﬂavors may be present. Mild acidity is appropriate. Diacetyl should not be present.,"Low to medium, with a degree of creaminess from wheat starch.",Many beer brands known as Austrian-Style Maerzen are nearly indistinguishable from Munich-Style Helles and are appropriately categorized here.,1.044-1.05 (11-12.4 °Plato),1.006-1.008 (1.5-2.1 °Plato),3.80%-4.40% (4.80%-5.60%),10-17,2-4(4-8 EBC)
75,Classic French & Belgian-Style Saison,Straw to light amber,Chill haze or slight yeast haze is acceptable,"Low, but providing foundation for the overall balance.","Low to medium and characterized by any of floral, herbal, woody or other attributes typical of European-type hops are common.","Medium-low to medium, but not assertive.","Fruity esters are medium to high. Low to medium-low level phenolics may be present, expressed as spice-like or other attributes. Phenolics should not be harsh or dominant and should be in harmony with ester profile and hops. Fruity and spicy black pepper attributes derived from Belgian yeast are common. Diacetyl should not be present. Low levels of Brettanomyces yeast-derived aroma and flavor attributes including any of slightly acidic, fruity, horsey, goaty, or leather-like, may be present but are not required. These beers are well attenuated and often bottle conditioned contributing some yeast character and high carbonation. Versions which exhibit sensory attributes typical of wood-aging are characterized as Specialty Saison.",Very low to low,"Traditionally, German-style Export beers were brewed to higher gravity/higher alcohol than domestic beers to promote longer shelf-life in export markets.",1.04-1.06 (10-14.7 °Plato),1.004-1.008 (1-2 °Plato),4.00%-5.40% (5.00%-6.80%),20-38,3-7(6-14 EBC)
76,Specialty Saison,"Straw to dark brown; may take on hue of fruit(s), darker malts, or other ingredients",Chill haze or slight yeast haze is acceptable,"Typically low to medium-low, but may vary in beers made with specialty malts.",Low to medium-high,Medium to medium-high,"Fruity esters are medium to high. Diacetyl should not be present. Complex alcohols, herbs, spices, low Brettanomyces attributes including slightly acidic, fruity, horsey, goaty and leather-like, as well as clove-like and smoky phenolics may be present. Herb or spice ﬂavors, including notes of black pepper, may be present. A low level of sour acidic ﬂavor is acceptable when in balance with other components. Because these beers are often bottle conditioned, they may display some yeast character and high carbonation.",Low to medium,"Traditional Oktoberfest beers were brewed to original gravity at or above 13 ºPlato. Today, some examples are brewed to a lower original gravity.",1.04-1.08 (10-19.3 °Plato),1.008-1.014 (2-3.5 °Plato),4.00%-7.40% (5.00%-9.30%),20-40,3-20(6-40 EBC)
77,French-Style Bière de Garde,Light amber to chestnut brown/red,Chill haze is acceptable. These beers are often bottle conditioned so slight yeast haze is acceptable.,"These beers are characterized by a toasted malt aroma and flavor, and a slight malt sweetness.",Low to medium from noble-type hops,Low to medium,"Fruity ester aromas are medium to high. Whereas fruity ester ﬂavors are low to medium. Diacetyl should not be present. Bière de Garde may have low levels of Brettanomyces yeast-derived ﬂavors including any of slightly acidic, fruity, horsey, goaty, or leather-like attributes. Beer displaying more pronounced levels of Brettanomyces derived attributes is categorized as Brett Beer. Alcohol may be evident in higher strength beers.",Low to medium,"Dunkels do not offer an overly sweet impression, but rather a balance between malt and dark malt sweetness and hop character.",1.06-1.08 (14.7-19.3 °Plato),1.012-1.024 (3.1-6.1 °Plato),3.50%-6.30% (4.40%-8.00%),20-30,7-16(14-32 EBC)
78,Belgian-Style Flanders Oud Bruin or Oud Red Ale,Copper to very dark. SRM/EBC color values can be misleading because the red spectrum of color is not accurately assessed by these measurement systems.,Chill haze is acceptable at low temperatures. Some versions may be more highly carbonated. Bottle conditioned versions may appear cloudy when served.,Roasted malt aromas and flavors including cocoa are acceptable at low levels. A very low level of malt sweetness may be present and balanced by acidity from Lactobacillus.,Not present,"Very low to medium-low, though acidity and wood-aging (if used) may mask higher bitterness levels.",Brettanomyces-produced aromas and flavors should be absent or very low. Fruity esters expressed as cherry or green apple attributes are apparent. Overall flavor of Oud Bruin is fundamentally characterized by low to high lactic sourness. Many versions express very low to medium acetic sourness and aroma; acetic sourness may also be absent.,Low to medium-low with a refreshing mouthfeel,These beers offer a ﬁne balance of sweet maltiness and hop bitterness.,1.044-1.056 (11-13.8 °Plato),1.008-1.016 (2.1-4.1 °Plato),3.80%-5.20% (4.80%-6.60%),5-18,12-25(24-50 EBC)
79,Belgian-Style Lambic,Gold to medium amber,Cloudiness is acceptable,Sweet malt character should not be present,"Not present to very low, and can include cheesy, ﬂoral or other attributes. Hop character is achieved by using stale and aged hops at low rates.",Very low,"Characteristic horsey, goaty, leathery and phenolic aromas and ﬂavors derived from Brettanomyces yeast are often present at moderate levels. High to very high fruity esters are present. Traditionally, Lambics are unblended and spontaneously fermented. They express high to very high levels of fruity esters as well as bacteria and yeast-derived sourness. Some versions are fermented with the addition of cultured yeast and bacteria. Carbonation can range from absent to medium. Vanillin and other wood-derived ﬂavors may range from absent to present at up to low-medium levels.",Very low with dry mouthfeel,"This is a stronger version of Doppelbock. Traditionally, these beers were created by freezing a Doppelbock and removing the ice, thus concentrating the alcohol.",1.044-1.065 (11-16 °Plato),1-1.01 (0-2.6 °Plato),4.00%-6.00% (5.00%-7.60%),11-23,6-13(12-26 EBC)
80,Traditional Belgian-Style Gueuze,Gold to medium amber,"Appearance can range from clear to low-medium cloudiness arising from yeast, as Gueuze is traditionally bottle conditioned.",Sweet malt character is not present,"Not present to very low and can include cheesy, ﬂoral or other attributes.",Very low,"Gueuze represents blends of aged and newly fermenting young Lambics. These unﬂavored blended and secondary fermented beers may range from very dry or mildly sweet. They are characterized by intense fruity ester, sour, and acidic attributes which only result from spontaneous fermentation. Diacetyl should not be present. Characteristic horsey, goaty, leathery and phenolic aromas and ﬂavors derived from Brettanomyces yeast are often present at moderate levels. Vanillin and other wood-derived ﬂavors may range from absent to present at up to low-medium levels. Carbonation can range from absent to high.",Typically very low with dry mouthfeel. Highly complex flavor profile can lend an impression of fullness.,"Chocolate Beers are beers of any classic style which incorporate dark chocolate or cocoa in any form. Beers made with white chocolate do not typify this category; however, beers which clearly exhibit attributes typical of white chocolate could be categorized as chocolate beer. Within the framework of this competition, all Chocolate Beers made with chilis should be categorized as Chili Beers. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may create categories which reflect groups of chocolate beers based on underlying beer style or other factors. Brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type or form of chocolate used or other factors which influence perceived sensory outcomes.",1.044-1.065 (11-16 °Plato),1-1.01 (0-2.6 °Plato),4.00%-6.40% (5.00%-8.00%),11-23,6-13(12-26 EBC)
81,Contemporary Belgian-Style Spontaneous Fermented Ale,Gold to very dark,"Cloudiness is acceptable, as these beers are frequently bottle conditioned.",Sweet malt character is not present. Some versions may exhibit attributes typical of specialty malts.,"Not present to low and can include cheesy, ﬂoral or other attributes typical of aged or unaged hops.",Very low,"These blended and secondary fermented beers may be very dry or mildly sweet. They are characterized by intense fruity ester, sour, and acidic attributes which only result from spontaneous fermentation. Diacetyl should not be present. Characteristic horsey, goaty, leathery, and phenolic aromas and ﬂavors derived from Brettanomyces yeast are often present at moderate levels. Aged beer is often blended with young beer to create this special style. Vanillin and other wood-derived ﬂavors may range from absent to present at up to low-medium levels. Carbonation can be none (flat) to high.",Very low with dry mouthfeel,"Corn, rice, or other grain or sugar adjuncts are often used. American Lagers are very clean and crisp, and aggressively carbonated.",1.044-1.072 (11-17.5 °Plato),1.004-1.016 (1-4.1 °Plato),4.00%-7.00% (5.00%-8.90%),11-23,6-40(12-80 EBC)
82,Belgian-Style Fruit Lambic,Often influenced by the color of added fruit,Cloudiness is acceptable,"Malt sweetness should be absent, but sweetness of fruit may be low to high.",Hop aroma and ﬂavor is not present. Cheesy hop character should not be present.,Very low,"Characteristic horsey, goaty, leathery, and phenolic aromas and ﬂavors derived from Brettanomyces yeast are often present at moderate levels. Fermented sourness is an important part of the ﬂavor proﬁle, though sweetness may compromise the intensity. Fruit sourness may also be an important part of the proﬁle. These ﬂavored Lambic beers may be very dry or mildly sweet.",Dry to full,"Corn, rice, or other grain or sugar adjuncts are often used, but all-malt formulations are also made. Contemporary American Lagers typically exhibit increased hop aroma and flavor compared to traditional versions, are clean and crisp, and aggressively carbonated.",1.04-1.072 (10-17.5 °Plato),1.008-1.016 (2.1-4.1 °Plato),4.00%-7.00% (5.00%-8.90%),15-21,Color takes on hue of fruit(Color takes on hue of fruit EBC)
83,Other Belgian-Style Ale,May vary widely,Chill haze is acceptable at low temperatures,Malt perception may vary widely,May vary widely,May vary widely,"Phenolic spiciness may be absent or may be present at low levels. Fruity-ester complexity may range from low to medium, in harmony with malt and other attributes. Diacetyl should not be present.",Varies with style,"Corn, rice or other grain or sugar adjuncts are often used. These beers are high in carbonation. Flavor attributes typical of beer are usually very low when present. Calories should not exceed 125 per 12-ounce serving. Low carb beers should have a maximum carbohydrate level of 3.0 gm per 12 oz. (355 ml).",Varies with style,Varies with style,>4.0%,Varies with style,Varies with style
84,Grodziskie,Straw to gold,Chill haze is acceptable at low temperatures,Oak-smoked wheat malt comprises the entire grain bill. Assertive smoked wheat malt aromas and flavors are medium to medium-high with aroma dominated by oak smoke.,Aroma and flavor of noble hops ranges from not present to low,Medium-low to medium,Fruity esters are low. Diacetyl and DMS should not be present. An overall crisp flavor is achieved by managing fermentation temperatures. Sourness should not be present.,Low to medium-low,"Corn, rice, or other grain or sugar adjuncts are often used but all-malt formulations are also made. These beers are high in carbonation. Hop attributes, though subtle, are more evident than in traditional American-Style Light Lager. Calories should not exceed 125 per 12-ounce serving. Low carb beers should have a maximum carbohydrate level of 3.0 gm per 12 oz. (355 ml)",1.028-1.036 (7.1-9 °Plato),1.006-1.01 (1.5-2.6 °Plato),2.10%-2.90% (2.70%-3.70%),15-25,3-6(6-12 EBC)
85,Adambier,Light brown to very dark,"Beer color may be too dark to perceive clarity. When clarity is perceivable, chill haze is absent.",Toast and caramel malt aroma and flavor may be present. Astringency from highly roasted malt should not be present.,"Low, with attributes typical of traditional non-hybrid European hop varieties.",Low to medium,A cool ale fermentation is typically used. Extensive aging and acidiﬁcation can mask malt and hop character to varying degrees. Aging in barrels may contribute some level of Brettanomyces and lactic character.,Medium to full,"Finish should exhibit low to medium-low body with a clean, crisp malt character evident at low levels. Up to 25% corn or rice in the grist should be used. Beers in this category hew to American-style lagers typical of the pre-Prohibition era.",1.07-1.09 (17.1-21.6 °Plato),1.01-1.02 (2.6-5.1 °Plato),7.10%-8.70% (9.00%-11.00%),30-50,15-35(30-70 EBC)
86,"Dutch-Style Kuit, Kuyt or Koyt",Gold to copper,Chill haze and other haze is acceptable,"The aroma is grainy or grainy-bready. A distinctive aroma and flavor profile arises from the use of at least 45 percent oat malt, and at least 20 percent wheat malt. Pale malt makes up the remainder of the grain bill.",Very low to low from noble hops or other traditional European varieties,Medium-low to medium,Esters may be present at low levels. Diacetyl is usually absent in these beers but may be present at very low levels. Acidity and sweet corn-like DMS should not be present.,Low to medium,All-malt grists are commonly used; up to 25% corn or rice may be incorporated in the grist. Beers in this category diverge from American-style lagers typical of the pre-Prohibition era by virtue of a wide range of hop aroma and flavor attributes.,1.05-1.08 (12.4-19.3 °Plato),1.006-1.015 (1.5-3.7 °Plato),3.80%-6.30% (4.70%-7.90%),25-35,5-12.5(10-25 EBC)
87,International-Style Pale Ale,Gold to copper,Chill haze is acceptable at low temperatures,Very low to medium malt flavor and aroma should be present. Low caramel malt aroma and flavor may be present.,"Hop aroma is low to high. Hop ﬂavor is very low to high. Hop character can vary widely, exhibiting diverse hop aroma and flavor attributes.",Medium to high,Fruity esters are low to high. Diacetyl is usually absent in these beers but may be present at very low levels. DMS should not be present.,Low to medium,"This style of beer should exhibit the fresh character of hops. Some versions may be brewed with corn, rice, or other adjunct grains, and may exhibit attributes typical of those adjuncts.",1.04-1.06 (10-14.7 °Plato),1.006-1.014 (1.5-3.6 °Plato),3.50%-5.20% (4.40%-6.60%),20-42,5-12(10-24 EBC)
88,Classic Australian-Style Pale Ale,Straw to copper,Chill or yeast haze is acceptable at low levels,Low malt sweetness and other malt attributes are present,Low to medium,Low to medium,"Perceivable fruity esters should be present, and are a defining character of this beer style, balanced by low to medium hop aroma. Overall flavor impression is mild. Clean yeasty, bready character may be present. Yeast in suspension if present may impact overall perception of bitterness. Diacetyl is usually absent in these beers but may be present at very low levels. DMS should not be present.",Low to medium with a dry finish,"Beers of this style are varied in character. Some malt liquors are only slightly stronger than American lagers, while others approach bock strength.",1.04-1.052 (10-13 °Plato),1.004-1.01 (1-2.5 °Plato),3.20%-4.70% (4.00%-6.00%),15-35,3-10(6-20 EBC)
89,Australian-Style Pale Ale,Straw to medium amber,"Any of yeast, chill, or hop haze may be present in this style at low levels but are not essential",Very low to medium,"Medium-low to medium-high, exhibiting attributes typical of modern hop varieties including any of tropical fruit, mango, passionfruit, or stone fruit",Low to medium-high,Very low to low fruity esters are acceptable but not essential.,Low to medium-low with a dry finish,This American version of a classic German beer is distinguished by a more pronounced hop character.,1.04-1.052 (10-13 °Plato),1.006-1.01 (1.5-2.5 °Plato),3.20%-4.70% (4.00%-6.00%),15-40,3-9(6-18 EBC)
90,New Zealand-Style Pale Ale,Straw to medium amber,"Any of yeast, chill, or hop haze may be present in at low levels but are not essential",Very low to medium,"Medium to medium-high, exhibiting attributes including any of tropical fruit, passionfruit, stone fruit, cut grass, or diesel",Low to medium-high,Low to medium fruity esters are acceptable but not essential.,Medium-low to medium with a dry finish,"Sugar, corn, rice, and other cereal grains or carbohydrates sources are used as adjuncts.",1.04-1.052 (10-13 °Plato),1.006-1.01 (1.5-2.5 °Plato),3.20%-4.70% (4.00%-6.00%),15-40,3-9(6-18 EBC)
91,New Zealand-Style India Pale Ale,Gold to copper,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.,Low to medium intensity malt attributes are present in aroma and ﬂavor,"High to intense, exhibiting attributes such as ﬂoral, fruity (tropical, stone fruit, and other), sulfur/diesel-like, citrusy, and grassy",Medium-high to very high,"Fruity esters are low to high, acceptable but not essential.",Medium-low to medium with a dry finish,"These beers are often brewed with rice, corn, wheat, or other grains. Sugar adjuncts may also be used.",1.06-1.07 (14.7-17.1 °Plato),1.01-1.016 (2.5-4.1 °Plato),5.00%-6.00% (6.30%-7.50%),50-70,6-12(12-24 EBC)
92,Finnish-Style Sahti,Pale to copper,"Chill haze, yeast haze and general turbidity is acceptable.",Malt aroma is medium-low to medium. Malt ﬂavor is medium to high with malt sweetness present.,Not present to very low,Very low,"These beers can vary significantly in character. Fruity ester and yeasty aromas are medium to high. Diacetyl should not be present. Bread/bakers’ yeast is traditionally used for fermentation and may produce flavors and aromas of complex alcohols, clove-like phenolics and banana fruitiness.",Medium to full,"Baltic Porter is brewed with lager yeast and fermented and lagered cold producing a smooth beer. A low level of oxidation, if harmonious with other flavor components, is acceptable.",1.06-1.09 (14.7-21.6 °Plato),1.016-1.04 (4-10 °Plato),5.60%-6.80% (7.00%-8.50%),3-16,4-12(8-24 EBC)
93,Swedish-Style Gotlandsdricke,Pale to copper,Chill haze or yeast haze is acceptable,"Medium-low to medium. Birchwood smoke character, derived from the malting process, should be present.",Not present to very low,Very low to medium-low,Bread/bakers’ yeast is traditionally used for fermentation and contributes to unique character of these beers. Fruity ester and yeasty aromas are medium to high. Diacetyl should not be present.,Medium to full,"This category includes beers of any style that 1) are at or below 5.0% abv (4.0% abw) and 2) have an original gravity and alcohol content below the range of the classic style as defined in these guidelines. These beers exhibit lower original gravity and alcohol content than the classic style. Balance and drinkability are key to a successful session beer. A beer at or below 5.0% abv (4% abw) that adheres to the specifications of a classic style is not categorized as Session Beer. For example, low gravity beers such as Belgian-Style Table Beers, Belgian-Style Session Ales, or English-Style Mild Ales should be categorized within their appropriate categories. A beer below 0.5% abv (0.4% abw) is categorized as a Non-Alcohol Malt Beverage. When using these guidelines as the basis for evaluating entries at competitions, organizers may wish to further subcategorize this category. Competition organizers may request that brewers provide actual percent alcohol by volume (abv) for their entries in this category.",1.04-1.05 (10-12.4 °Plato),1.01-1.014 (2.5-3.5 °Plato),4.40%-5.20% (5.50%-6.50%),15-25,4-12(8-24 EBC)
94,Breslau-Style Schoeps,Straw to black,Chill haze is acceptable at low temperatures. Hue may be too dark to perceive clarity in some versions.,"Malt sweetness is medium to medium-high with a pronounced malt character. A high proportion of pale or dark wheat malt (as much as 80 percent) is used to brew these beers as well as Pilsener and other pale, toasted, or dark specialty malts. Paler versions may have bready, aromatic biscuit malt attributes. Darker versions may exhibit roast malt bitterness at low levels, and toasted or nutty malt attributes. Caramel-like malt attributes are not present.",Very low,Medium-low to medium,Fruity esters may be present as these beers are fermented with ale yeast as opposed to wheat beer yeast. Diacetyl and phenolic aromas and ﬂavors should not be present.,Full,These crisp and refreshing beers are fermented warm with ale or lager yeast and lagered cold.,1.067-1.072 (16.5-17.5 °Plato),1.016-1.024 (4.5-6.1 °Plato),4.80%-5.60% (6.00%-7.00%),20-30,2-40+(4-80+ EBC)
95,German-Style Leichtbier,Straw to pale,Appearance should be clear. Chill haze should not be present,Low to medium,Low to medium,Medium,Fruity esters and diacetyl should not be present. Very low levels of sulfur-related compounds are acceptable.,Very low,California Common beers are brewed with lager yeasts but fermented at warm temperatures like ales,1.026-1.034 (6.6-8.5 °Plato),1.006-1.01 (1.5-2.6 °Plato),2.00%-2.90% (2.50%-3.70%),16-24,2-4(4-8 EBC)
96,German-Style Pilsener,Straw to gold,Appearance should be clear. Chill haze should not be present,A malty sweet aroma and flavor should be present at low levels. Bready or light biscuity attributes may be present.,"Hop aroma and ﬂavor is moderate and pronounced, derived from late hopping (not dry hopping) with noble-type hops. Floral, herbal, peppery, or other attributes may be present.",Medium to high,Fruity-ester and DMS should not be present. These are well attenuated beers.,Low to medium-low,"This American-born regional style proliferated around Louisville, Kentucky, from the Civil War era until Prohibition. Corn grits or flakes were commonly used at a rate or 25-35% of the total grist. Minerally attributes resulted from the use of hard brewing water. These beers were consumed very young, going from brewhouse to consumer in as little as one week. Early 20th century brewing literature mentions a slight tartness developing during fermentation as a characteristic attribute of this style. If tartness is present in modern versions, it should be at very low levels.",1.044-1.052 (11-12.9 °Plato),1.006-1.012 (1.5-3.1 °Plato),3.60%-4.20% (4.60%-5.30%),25-50,3-4(6-8 EBC)
