Feature,value
Original Gravity (°Plato),1.044-1.065 (11-16 °Plato)
Apparent Extract/Final Gravity (°Plato),1-1.01 (0-2.6 °Plato)
Alcohol by Weight (Volume),4.00%-6.40% (5.00%-8.00%)
Bitterness (IBU),11-23
Color SRM (EBC),6-13(12-26 EBC)
Category,Contemporary Belgian-Style Spontaneous Fermented Ale
Color,Gold to very dark
Clarity,"Cloudiness is acceptable, as these beers are frequently bottle conditioned."
Perceived Malt Aroma & Flavor,Sweet malt character is not present. Some versions may exhibit attributes typical of specialty malts.
Perceived Hop Aroma & Flavor,"Not present to low and can include cheesy, ﬂoral or other attributes typical of aged or unaged hops."
Perceived Bitterness,Very low
Fermentation Characteristics,"These blended and secondary fermented beers may be very dry or mildly sweet. They are characterized by intense fruity ester, sour, and acidic attributes which only result from spontaneous fermentation. Diacetyl should not be present. Characteristic horsey, goaty, leathery, and phenolic aromas and ﬂavors derived from Brettanomyces yeast are often present at moderate levels. Aged beer is often blended with young beer to create this special style. Vanillin and other wood-derived ﬂavors may range from absent to present at up to low-medium levels. Carbonation can be none (flat) to high."
Body,Very low with dry mouthfeel
Additional notes,"Contemporary Belgian-Style Spontaneous Fermented Ales takes its inspiration from the Traditional Gueuze whose origin is the Brussels area of Belgium. But these beers incorporate specialty malts, spice(s), fruit(s), or many other diverse ingredients and processes that influence the hue, aroma and flavor outcomes of the finished beers such that they differ significantly from traditional examples. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as non-traditional malts, sweeteners, fruit(s), spice(s) or any other ingredients or processing which influence perceived sensory outcomes."
Original Gravity (°Plato),1.044-1.072 (11-17.5 °Plato)
Apparent Extract/Final Gravity (°Plato),1.004-1.016 (1-4.1 °Plato)
Alcohol by Weight (Volume),4.00%-7.00% (5.00%-8.90%)
Bitterness (IBU),11-23
Color SRM (EBC),6-40(12-80 EBC)
Category,Belgian-Style Fruit Lambic
Color,Often influenced by the color of added fruit
Clarity,Cloudiness is acceptable
Perceived Malt Aroma & Flavor,"Malt sweetness should be absent, but sweetness of fruit may be low to high."
Perceived Hop Aroma & Flavor,Hop aroma and ﬂavor is not present. Cheesy hop character should not be present.
Perceived Bitterness,Very low
Fermentation Characteristics,"Characteristic horsey, goaty, leathery, and phenolic aromas and ﬂavors derived from Brettanomyces yeast are often present at moderate levels. Fermented sourness is an important part of the ﬂavor proﬁle, though sweetness may compromise the intensity. Fruit sourness may also be an important part of the proﬁle. These ﬂavored Lambic beers may be very dry or mildly sweet."
Body,Dry to full
Additional notes,"These beers, also known by the names Framboise, Kriek, Peche, Cassis, etc., are characterized by fruit aromas and ﬂavors. Fruit Lambics, whose origin is the Brussels area of Belgium, are often simply called Fruit Lambic. Versions of this beer style made outside of the Brussels area are said to be ‘Belgian-Style Fruit Lambics’. The Belgian-style versions are made to resemble many of the beers of true origin. Historically, traditional Lambics are dry and completely attenuated, exhibiting no residual sweetness either from malt, sugar, fruit, or other sweeteners. Some versions often have a degree of sweetness contributed by fruit sugars, other sugars, or other sweeteners. See also Belgian-Style Lambic for additional background information. Vanillin and other wood-derived ﬂavors may range from absent to present at up to low-medium levels, and, if present, are in harmony with attribute arising from fruit. Competition organizers may create subcategories which reflect groups of entries based on color, fruit, or other ingredients. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying lambic beer upon which the entry is based, or other information unique to the entry such as fruit ingredients or processing which influence perceived sensory outcomes."
Original Gravity (°Plato),1.04-1.072 (10-17.5 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.016 (2.1-4.1 °Plato)
Alcohol by Weight (Volume),4.00%-7.00% (5.00%-8.90%)
Bitterness (IBU),15-21
Color SRM (EBC),Color takes on hue of fruit(Color takes on hue of fruit EBC)
Category,Other Belgian-Style Ale
Color,May vary widely
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Malt perception may vary widely
Perceived Hop Aroma & Flavor,May vary widely
Perceived Bitterness,May vary widely
Fermentation Characteristics,"Phenolic spiciness may be absent or may be present at low levels. Fruity-ester complexity may range from low to medium, in harmony with malt and other attributes. Diacetyl should not be present."
Body,Varies with style
Additional notes,"Beers in this category recognize the uniqueness and traditions of Belgian brewing, but do not hew to any other Belgian-style categories defined elsewhere in these guidelines. Balance is a key component when assessing these beers. Wood and barrel-aged versions which exhibit sensory attributes of wood-aging are categorized here. Fruited versions are categorized as Belgian-style fruit beers."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),>4.0%
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,Grodziskie
Color,Straw to gold
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Oak-smoked wheat malt comprises the entire grain bill. Assertive smoked wheat malt aromas and flavors are medium to medium-high with aroma dominated by oak smoke.
Perceived Hop Aroma & Flavor,Aroma and flavor of noble hops ranges from not present to low
Perceived Bitterness,Medium-low to medium
Fermentation Characteristics,Fruity esters are low. Diacetyl and DMS should not be present. An overall crisp flavor is achieved by managing fermentation temperatures. Sourness should not be present.
Body,Low to medium-low
Additional notes,Grodziskie (sometimes referred to as Graetzer in German) is an ale style of Polish origin. Historic versions were often bottle conditioned and highly carbonated.
Original Gravity (°Plato),1.028-1.036 (7.1-9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.01 (1.5-2.6 °Plato)
Alcohol by Weight (Volume),2.10%-2.90% (2.70%-3.70%)
Bitterness (IBU),15-25
Color SRM (EBC),3-6(6-12 EBC)
Category,Adambier
Color,Light brown to very dark
Clarity,"Beer color may be too dark to perceive clarity. When clarity is perceivable, chill haze is absent."
Perceived Malt Aroma & Flavor,Toast and caramel malt aroma and flavor may be present. Astringency from highly roasted malt should not be present.
Perceived Hop Aroma & Flavor,"Low, with attributes typical of traditional non-hybrid European hop varieties."
Perceived Bitterness,Low to medium
Fermentation Characteristics,A cool ale fermentation is typically used. Extensive aging and acidiﬁcation can mask malt and hop character to varying degrees. Aging in barrels may contribute some level of Brettanomyces and lactic character.
Body,Medium to full
Additional notes,"The style originated in Dortmund and is a strong, dark, hoppy ale which may or may not be sour. It may also be extensively aged in wooden barrels. Traditional versions may have a low or medium-low degree of smokiness. Adambier may or may not use wheat in its formulation. Smoke character may be absent in contemporary versions. Fruited versions of this style which exhibit attributes of wood-aging should be categorized as fruited Wood- and Barrel-Aged Sour Beers. Fruited versions of this style which do not exhibit attributes of wood-aging should be categorized as Fruit Wheat Beers."
Original Gravity (°Plato),1.07-1.09 (17.1-21.6 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.02 (2.6-5.1 °Plato)
Alcohol by Weight (Volume),7.10%-8.70% (9.00%-11.00%)
Bitterness (IBU),30-50
Color SRM (EBC),15-35(30-70 EBC)
Category,"Dutch-Style Kuit, Kuyt or Koyt"
Color,Gold to copper
Clarity,Chill haze and other haze is acceptable
Perceived Malt Aroma & Flavor,"The aroma is grainy or grainy-bready. A distinctive aroma and flavor profile arises from the use of at least 45 percent oat malt, and at least 20 percent wheat malt. Pale malt makes up the remainder of the grain bill."
Perceived Hop Aroma & Flavor,Very low to low from noble hops or other traditional European varieties
Perceived Bitterness,Medium-low to medium
Fermentation Characteristics,Esters may be present at low levels. Diacetyl is usually absent in these beers but may be present at very low levels. Acidity and sweet corn-like DMS should not be present.
Body,Low to medium
Additional notes,This style of beer was popular in the Netherlands from 1400-1550.
Original Gravity (°Plato),1.05-1.08 (12.4-19.3 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.015 (1.5-3.7 °Plato)
Alcohol by Weight (Volume),3.80%-6.30% (4.70%-7.90%)
Bitterness (IBU),25-35
Color SRM (EBC),5-12.5(10-25 EBC)
Category,International-Style Pale Ale
Color,Gold to copper
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Very low to medium malt flavor and aroma should be present. Low caramel malt aroma and flavor may be present.
Perceived Hop Aroma & Flavor,"Hop aroma is low to high. Hop ﬂavor is very low to high. Hop character can vary widely, exhibiting diverse hop aroma and flavor attributes."
Perceived Bitterness,Medium to high
Fermentation Characteristics,Fruity esters are low to high. Diacetyl is usually absent in these beers but may be present at very low levels. DMS should not be present.
Body,Low to medium
Additional notes,"Pale Ales from around the world may vary considerably from the other pale ale styles defined elsewhere within this document. Overall impression is a well-integrated, easy drinking, refreshing ale with distinctive hop aroma and flavor attributes including any of floral, herbal, fruity, tropical, pine, or many others. Diacetyl is usually absent in these beers but may be present at very low levels. DMS should not be present."
Original Gravity (°Plato),1.04-1.06 (10-14.7 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.014 (1.5-3.6 °Plato)
Alcohol by Weight (Volume),3.50%-5.20% (4.40%-6.60%)
Bitterness (IBU),20-42
Color SRM (EBC),5-12(10-24 EBC)
Category,Classic Australian-Style Pale Ale
Color,Straw to copper
Clarity,Chill or yeast haze is acceptable at low levels
Perceived Malt Aroma & Flavor,Low malt sweetness and other malt attributes are present
Perceived Hop Aroma & Flavor,Low to medium
Perceived Bitterness,Low to medium
Fermentation Characteristics,"Perceivable fruity esters should be present, and are a defining character of this beer style, balanced by low to medium hop aroma. Overall flavor impression is mild. Clean yeasty, bready character may be present. Yeast in suspension if present may impact overall perception of bitterness. Diacetyl is usually absent in these beers but may be present at very low levels. DMS should not be present."
Body,Low to medium with a dry finish
Original Gravity (°Plato),1.04-1.052 (10-13 °Plato)
Apparent Extract/Final Gravity (°Plato),1.004-1.01 (1-2.5 °Plato)
Alcohol by Weight (Volume),3.20%-4.70% (4.00%-6.00%)
Bitterness (IBU),15-35
Color SRM (EBC),3-10(6-20 EBC)
Category,Australian-Style Pale Ale
Color,Straw to medium amber
Clarity,"Any of yeast, chill, or hop haze may be present in this style at low levels but are not essential"
Perceived Malt Aroma & Flavor,Very low to medium
Perceived Hop Aroma & Flavor,"Medium-low to medium-high, exhibiting attributes typical of modern hop varieties including any of tropical fruit, mango, passionfruit, or stone fruit"
Perceived Bitterness,Low to medium-high
Fermentation Characteristics,Very low to low fruity esters are acceptable but not essential.
Body,Low to medium-low with a dry finish
Additional notes,"Overall impression is a well-integrated easy drinking, refreshing pale ale style with distinctive fruity, tropical, herbal and many other hop aromas and flavours. Diacetyl is usually absent in these beers but may be present at very low levels. DMS should not be present."
Original Gravity (°Plato),1.04-1.052 (10-13 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.01 (1.5-2.5 °Plato)
Alcohol by Weight (Volume),3.20%-4.70% (4.00%-6.00%)
Bitterness (IBU),15-40
Color SRM (EBC),3-9(6-18 EBC)
Category,New Zealand-Style Pale Ale
Color,Straw to medium amber
Clarity,"Any of yeast, chill, or hop haze may be present in at low levels but are not essential"
Perceived Malt Aroma & Flavor,Very low to medium
Perceived Hop Aroma & Flavor,"Medium to medium-high, exhibiting attributes including any of tropical fruit, passionfruit, stone fruit, cut grass, or diesel"
Perceived Bitterness,Low to medium-high
Fermentation Characteristics,Low to medium fruity esters are acceptable but not essential.
Body,Medium-low to medium with a dry finish
Additional notes,"Overall impression is a well-integrated easy drinking, refreshing pale ale style with distinctive fruity hop aromas and flavors. Diacetyl is absent in these beers. DMS should not be present."
Original Gravity (°Plato),1.04-1.052 (10-13 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.01 (1.5-2.5 °Plato)
Alcohol by Weight (Volume),3.20%-4.70% (4.00%-6.00%)
Bitterness (IBU),15-40
Color SRM (EBC),3-9(6-18 EBC)
Category,New Zealand-Style India Pale Ale
Color,Gold to copper
Clarity,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.
Perceived Malt Aroma & Flavor,Low to medium intensity malt attributes are present in aroma and ﬂavor
Perceived Hop Aroma & Flavor,"High to intense, exhibiting attributes such as ﬂoral, fruity (tropical, stone fruit, and other), sulfur/diesel-like, citrusy, and grassy"
Perceived Bitterness,Medium-high to very high
Fermentation Characteristics,"Fruity esters are low to high, acceptable but not essential."
Body,Medium-low to medium with a dry finish
Additional notes,"Diacetyl and DMS should not be present. The use of water with high mineral content may result in a crisp, dry beer rather than a malt-accentuated version. Hop attributes are dominant and balanced with malt character."
Original Gravity (°Plato),1.06-1.07 (14.7-17.1 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.016 (2.5-4.1 °Plato)
Alcohol by Weight (Volume),5.00%-6.00% (6.30%-7.50%)
Bitterness (IBU),50-70
Color SRM (EBC),6-12(12-24 EBC)
Category,Finnish-Style Sahti
Color,Pale to copper
Clarity,"Chill haze, yeast haze and general turbidity is acceptable."
Perceived Malt Aroma & Flavor,Malt aroma is medium-low to medium. Malt ﬂavor is medium to high with malt sweetness present.
Perceived Hop Aroma & Flavor,Not present to very low
Perceived Bitterness,Very low
Fermentation Characteristics,"These beers can vary significantly in character. Fruity ester and yeasty aromas are medium to high. Diacetyl should not be present. Bread/bakers’ yeast is traditionally used for fermentation and may produce flavors and aromas of complex alcohols, clove-like phenolics and banana fruitiness."
Body,Medium to full
Additional notes,Juniper aroma and ﬂavor should be present due to the use of juniper boughs/branches and berries in the brewing process.
Original Gravity (°Plato),1.06-1.09 (14.7-21.6 °Plato)
Apparent Extract/Final Gravity (°Plato),1.016-1.04 (4-10 °Plato)
Alcohol by Weight (Volume),5.60%-6.80% (7.00%-8.50%)
Bitterness (IBU),3-16
Color SRM (EBC),4-12(8-24 EBC)
Category,Swedish-Style Gotlandsdricke
Color,Pale to copper
Clarity,Chill haze or yeast haze is acceptable
Perceived Malt Aroma & Flavor,"Medium-low to medium. Birchwood smoke character, derived from the malting process, should be present."
Perceived Hop Aroma & Flavor,Not present to very low
Perceived Bitterness,Very low to medium-low
Fermentation Characteristics,Bread/bakers’ yeast is traditionally used for fermentation and contributes to unique character of these beers. Fruity ester and yeasty aromas are medium to high. Diacetyl should not be present.
Body,Medium to full
Additional notes,Juniper aroma and flavor should be present due to the use of juniper boughs/branches and berries in the brewing process. These beers are characterized by juniper and birchwood smoked malt.
Original Gravity (°Plato),1.04-1.05 (10-12.4 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.014 (2.5-3.5 °Plato)
Alcohol by Weight (Volume),4.40%-5.20% (5.50%-6.50%)
Bitterness (IBU),15-25
Color SRM (EBC),4-12(8-24 EBC)
Category,Breslau-Style Schoeps
Color,Straw to black
Clarity,Chill haze is acceptable at low temperatures. Hue may be too dark to perceive clarity in some versions.
Perceived Malt Aroma & Flavor,"Malt sweetness is medium to medium-high with a pronounced malt character. A high proportion of pale or dark wheat malt (as much as 80 percent) is used to brew these beers as well as Pilsener and other pale, toasted, or dark specialty malts. Paler versions may have bready, aromatic biscuit malt attributes. Darker versions may exhibit roast malt bitterness at low levels, and toasted or nutty malt attributes. Caramel-like malt attributes are not present."
Perceived Hop Aroma & Flavor,Very low
Perceived Bitterness,Medium-low to medium
Fermentation Characteristics,Fruity esters may be present as these beers are fermented with ale yeast as opposed to wheat beer yeast. Diacetyl and phenolic aromas and ﬂavors should not be present.
Body,Full
Additional notes,"Traditional German wheat beer yeast is not used in this style of beer. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect pale and dark versions."
Original Gravity (°Plato),1.067-1.072 (16.5-17.5 °Plato)
Apparent Extract/Final Gravity (°Plato),1.016-1.024 (4.5-6.1 °Plato)
Alcohol by Weight (Volume),4.80%-5.60% (6.00%-7.00%)
Bitterness (IBU),20-30
Color SRM (EBC),2-40+(4-80+ EBC)
Category,German-Style Leichtbier
Color,Straw to pale
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,Low to medium
Perceived Hop Aroma & Flavor,Low to medium
Perceived Bitterness,Medium
Fermentation Characteristics,Fruity esters and diacetyl should not be present. Very low levels of sulfur-related compounds are acceptable.
Body,Very low
Original Gravity (°Plato),1.026-1.034 (6.6-8.5 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.01 (1.5-2.6 °Plato)
Alcohol by Weight (Volume),2.00%-2.90% (2.50%-3.70%)
Bitterness (IBU),16-24
Color SRM (EBC),2-4(4-8 EBC)
Category,German-Style Pilsener
Color,Straw to gold
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,A malty sweet aroma and flavor should be present at low levels. Bready or light biscuity attributes may be present.
Perceived Hop Aroma & Flavor,"Hop aroma and ﬂavor is moderate and pronounced, derived from late hopping (not dry hopping) with noble-type hops. Floral, herbal, peppery, or other attributes may be present."
Perceived Bitterness,Medium to high
Fermentation Characteristics,Fruity-ester and DMS should not be present. These are well attenuated beers.
Body,Low to medium-low
Additional notes,"The head should be dense, pure white, and persistent. Hop character is assertive and crisp."
Original Gravity (°Plato),1.044-1.052 (11-12.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.012 (1.5-3.1 °Plato)
Alcohol by Weight (Volume),3.60%-4.20% (4.60%-5.30%)
Bitterness (IBU),25-50
Color SRM (EBC),3-4(6-8 EBC)
Category,Bohemian-Style Pilsener
Color,Straw to gold
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,"A slightly sweet and toasted, biscuity, bready malt aroma and ﬂavor is present."
Perceived Hop Aroma & Flavor,"Medium-low to medium, derived from late kettle hopping with noble-type hops."
Perceived Bitterness,Medium
Fermentation Characteristics,"The upper limit of original gravity of versions brewed in Czech Republic is 12.99 °Plato or 1.052 specific gravity. Esters are usually not present, but if present should be extremely low, at the limit of perception. Very low levels of diacetyl, if present, are acceptable and may accent malt character. Low levels of sulfur compounds may be present. DMS and acetaldehyde should not be present."
Body,Medium
Additional notes,The head should be dense.
Original Gravity (°Plato),1.044-1.052 (11-12.99 °Plato)
Apparent Extract/Final Gravity (°Plato),1.013-1.018 (3.3-4.5 °Plato)
Alcohol by Weight (Volume),3.20%-4.00% (4.10%-5.10%)
Bitterness (IBU),25-45
Color SRM (EBC),3-6(6-12 EBC)
Category,Munich-Style Helles
Color,Pale to gold
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,Malt aroma and ﬂavor are pronounced. Low levels of yeast-produced sulfur aromas and ﬂavors may be present. Malt character is sometimes bready and suggestive of lightly toasted malted barley. There should be no caramel character.
Perceived Hop Aroma & Flavor,"Hop aroma is not present to low. Hop ﬂavor is very low to low, derived from noble-type hops."
Perceived Bitterness,"Low, derived from European noble-type hops."
Fermentation Characteristics,"Fruity esters, DMS, and diacetyl should not be present. A very low level of sulfur attributes may be present in balance with other attributes."
Body,Medium
Additional notes,Many beer brands known as Austrian-Style Maerzen are nearly indistinguishable from Munich-Style Helles and are appropriately categorized here.
Original Gravity (°Plato),1.044-1.05 (11-12.4 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.012 (2.1-3.1 °Plato)
Alcohol by Weight (Volume),3.80%-4.40% (4.80%-5.60%)
Bitterness (IBU),18-25
Color SRM (EBC),4-5.5(8-11 EBC)
Category,Dortmunder/European-Style Export
Color,Straw to deep gold
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,Sweet malt character should be low and should not be caramelly
Perceived Hop Aroma & Flavor,"Very low to low, derived from noble-type hops."
Perceived Bitterness,Medium
Fermentation Characteristics,Fruity esters and diacetyl should not be present.
Body,Medium
Additional notes,"Traditionally, German-style Export beers were brewed to higher gravity/higher alcohol than domestic beers to promote longer shelf-life in export markets."
Original Gravity (°Plato),1.048-1.057 (11.9-14 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.014 (2.6-3.6 °Plato)
Alcohol by Weight (Volume),4.00%-4.80% (5.10%-6.10%)
Bitterness (IBU),23-29
Color SRM (EBC),3-6(6-12 EBC)
Category,Vienna-Style Lager
Color,Deep Gold to reddish-brown
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,"Characterized by malty aroma and light malt sweetness, which should have a lightly toasted malt character."
Perceived Hop Aroma & Flavor,"Very low to low, derived from noble-type hops."
Perceived Bitterness,"Low to medium-low, clean, and crisp."
Fermentation Characteristics,"DMS, diacetyl, and fruity esters should not be present."
Body,Medium
Original Gravity (°Plato),1.046-1.056 (11.4-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.012-1.018 (3.1-4.6 °Plato)
Alcohol by Weight (Volume),3.80%-4.30% (4.80%-5.40%)
Bitterness (IBU),22-28
Color SRM (EBC),6-18(12-36 EBC)
Category,Franconian-Style Rotbier
Color,Amber to dark red
Clarity,Clear to slightly hazy for unfiltered versions. Chill haze should not be present.
Perceived Malt Aroma & Flavor,Light toasted malt aroma and malt sweetness is typical. Light caramel or biscuit character may be present.
Perceived Hop Aroma & Flavor,"Low to medium-low, with attributes typical of noble-type hops."
Perceived Bitterness,"Low to medium-low, producing a clean finish."
Fermentation Characteristics,"DMS, diacetyl, fruity esters, and phenolic attributes should not be present."
Body,Medium
Original Gravity (°Plato),1.046-1.056 (11.4-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.01 (2.1-2.6 °Plato)
Alcohol by Weight (Volume),3.80%-4.40% (4.80%-5.60%)
Bitterness (IBU),20-28
Color SRM (EBC),13-23(26-46 EBC)
Category,German-Style Maerzen
Color,Pale to reddish-brown
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,Bready or biscuity malt aroma and flavor should be present. Sweet maltiness is medium-low to medium and leads to a muted clean hop bitterness. Malt ﬂavors should be of light toast rather than strong caramel. Low level caramel character is acceptable.
Perceived Hop Aroma & Flavor,Low with attributes typical of noble hop varieties
Perceived Bitterness,Medium-low to medium
Fermentation Characteristics,Fruity esters and diacetyl should not be present
Body,Medium
Original Gravity (°Plato),1.05-1.06 (12.4-14.7 °Plato)
Apparent Extract/Final Gravity (°Plato),1.012-1.02 (3.1-5.1 °Plato)
Alcohol by Weight (Volume),4.00%-4.70% (5.10%-6.00%)
Bitterness (IBU),18-25
Color SRM (EBC),4-15(8-30 EBC)
Category,German-Style Oktoberfest/Wiesn
Color,Straw to gold
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,"Clean, sweet, bready malt profile is low to medium-low"
Perceived Hop Aroma & Flavor,Very low to low
Perceived Bitterness,Very low to low and in balance with low sweet maltiness
Fermentation Characteristics,Fruity esters and diacetyl should not be present
Body,Medium
Additional notes,"Traditional Oktoberfest beers were brewed to original gravity at or above 13 ºPlato. Today, some examples are brewed to a lower original gravity."
Original Gravity (°Plato),1.048-1.056 (11.9-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.014 (2.6-3.6 °Plato)
Alcohol by Weight (Volume),4.00%-4.80% (5.10%-6.10%)
Bitterness (IBU),23-29
Color SRM (EBC),3-5(6-10 EBC)
Category,Munich-Style Dunkel
Color,Light brown to brown
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,"Malt character is low to medium, with chocolate, roast, bread, or biscuit aromas and flavors contributed by using dark Munich malt or other specialty malts."
Perceived Hop Aroma & Flavor,"Very low to low, with attributes typical of noble-type hops."
Perceived Bitterness,Medium-low to medium
Fermentation Characteristics,Fruity esters and diacetyl should not be present
Body,Low to medium-low
Additional notes,"Dunkels do not offer an overly sweet impression, but rather a balance between malt and dark malt sweetness and hop character."
Original Gravity (°Plato),1.048-1.056 (11.9-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.014-1.018 (3.6-4.6 °Plato)
Alcohol by Weight (Volume),3.80%-4.20% (4.80%-5.30%)
Bitterness (IBU),16-25
Color SRM (EBC),15-25(30-49 EBC)
Category,European-Style Dark Lager
Color,Light brown to dark brown
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,"Low to medium with chocolate, roast, and malt aromas and flavors present."
Perceived Hop Aroma & Flavor,Very low to low with attributes typical of noble-type hops.
Perceived Bitterness,Medium-low to medium-high
Fermentation Characteristics,"Fruity esters should not be present. In most examples diacetyl should not be present, however some Czech dark lagers allow for low levels of diacetyl"
Body,Low to medium-low
Additional notes,These beers offer a ﬁne balance of sweet maltiness and hop bitterness.
Original Gravity (°Plato),1.048-1.056 (11.9-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.014-1.018 (3.6-4.6 °Plato)
Alcohol by Weight (Volume),3.80%-4.20% (4.80%-5.30%)
Bitterness (IBU),20-35
Color SRM (EBC),15-24(30-48 EBC)
Category,German-Style Schwarzbier
Color,"Very dark brown to black, with a pale-colored head."
Clarity,"Beer color may be too dark to perceive. When clarity is perceivable, chill haze should not be present."
Perceived Malt Aroma & Flavor,Medium malt aroma displays a mild roasted malt character. Malt sweetness is low to medium and displays a mild roasted malt character without bitterness.
Perceived Hop Aroma & Flavor,"Hop aroma and ﬂavor is very low to low, derived from noble-type hops."
Perceived Bitterness,Low to medium
Fermentation Characteristics,Fruity esters and diacetyl should not be present.
Body,Low to medium-low
Original Gravity (°Plato),1.044-1.052 (11-12.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.016 (2.6-4.1 °Plato)
Alcohol by Weight (Volume),3.00%-3.90% (3.80%-4.90%)
Bitterness (IBU),22-30
Color SRM (EBC),25-40(50-80 EBC)
Category,Bamberg-Style Helles Rauchbier
Color,Light pale to gold
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,"Malt character is prominent with malt aromas suggesting lightly toasted sweet, malted barley. Smoke beechwood character ranges from very low to medium. Smoky aroma should be not harshly phenolic. Sulfur may be present at low levels. There should be no caramel character. Smoke ﬂavor may create a perception of mild sweetness."
Perceived Hop Aroma & Flavor,"Hop aroma and ﬂavor is very low to low, derived from noble-type hops."
Perceived Bitterness,Low to medium
Fermentation Characteristics,Fruity esters and diacetyl should not be present. Very low levels of sulfur-related compounds are acceptable.
Body,Medium
Original Gravity (°Plato),1.044-1.05 (11-12.4 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.012 (2.1-3.1 °Plato)
Alcohol by Weight (Volume),3.80%-4.40% (4.80%-5.60%)
Bitterness (IBU),18-25
Color SRM (EBC),4-5.5(8-11 EBC)
Category,Bamberg-Style Maerzen Rauchbier
Color,Pale to light brown
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,"Sweet toasted malt aroma should be present. Medium-low to medium toasted malt sweetness should be present. Aroma and flavor of smoked beechwood ranges from very low to medium. Smoke ﬂavors should be smooth, without harshness. Aroma should strike a balance between malt, hop, and smoke."
Perceived Hop Aroma & Flavor,"Hop aroma and ﬂavor is very low to low, derived from noble-type hops."
Perceived Bitterness,Low to medium
Fermentation Characteristics,Fruity esters and diacetyl should not be present
Body,Full
Original Gravity (°Plato),1.05-1.06 (12.4-14.7 °Plato)
Apparent Extract/Final Gravity (°Plato),1.012-1.02 (3.1-5.1 °Plato)
Alcohol by Weight (Volume),4.00%-4.70% (5.10%-6.00%)
Bitterness (IBU),18-25
Color SRM (EBC),4-15(8-30 EBC)
Category,Bamberg-Style Bock Rauchbier
Color,Dark brown to very dark
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,"Medium to medium-high malt aroma and ﬂavor should be present with very low to medium-high beechwood smoke aromas and ﬂavors. Smoke flavors should be smooth, without harshness. Smoke ﬂavor may create a perception of mild sweetness."
Perceived Hop Aroma & Flavor,Very low
Perceived Bitterness,"Medium, increasing proportionately with starting gravity."
Fermentation Characteristics,"Fruity esters are usually absent, but if present should be very low. Diacetyl should not be present."
Body,Medium to full
Original Gravity (°Plato),1.066-1.074 (16.1-18 °Plato)
